name,PLD,desity(g/cm^3),VSA(m^2/cm^3),GSA(m^2/g),Vp(cm^3/g),void_fraction,C/wt%,H/wt%,N/wt%,F/wt%,total degree of unsaturation,metalic percentage,electronegtive-to-total ratio,weighted electronegativity per atom,target
GaFFIVE_15_Cu_i,10.76646,0.740902,1676.01,2262.13,0.803291,0.59516,60.89852063,3.066474505,7.101869774,12.04052634,99,5,0.12,2.5168,64.80894666
GaFFIVE_15_Fe_i,10.96708,0.733699,1672.56,2279.63,0.805044,0.59066,61.49883899,3.096702841,7.17187776,12.15921804,99,5,0.12,2.491466667,64.98251419
GaFFIVE_15_Ni_i,10.82705,0.749096,1645.74,2196.97,0.784412,0.5876,61.27545385,3.085454541,7.145827009,12.11505154,99,5,0.12,2.491466667,63.32418167
GaFFIVE_15_Zn_i,10.90579,0.741566,1681.73,2267.81,0.799268,0.59271,60.75727819,3.059362405,7.085398348,12.01260065,99,5,0.12,2.513466667,64.24559311
GaFFIVE_16_Fe_i,8.48069,0.623565,1988.96,3189.66,1.03481,0.64527,66.91264541,3.455701329,6.002481214,10.17662045,66,3.846153846,0.094736842,2.474315789,84.77855834
GaFFIVE_16_Zn_i,8.43454,0.631899,1991.33,3151.33,1.02019,0.64466,66.23603185,3.420757644,5.941784762,10.07371555,66,3.846153846,0.094736842,2.491684211,83.67006494
GaFFIVE_18_Cd,3.91903,1.29683,555.338,428.227,0.241805,0.31358,36.52852774,4.291820694,17.03955002,14.44444613,4,10,0.206349206,2.489206349,20.52675843
GaFFIVE_2_Cd,11.01323,0.616475,1815.35,2944.73,1.17022,0.72141,45.21483257,2.529711721,8.788113116,14.89938718,13.5,8.333333333,0.176470588,2.518823529,92.70594956
GaFFIVE_2_Cd_i,4.0936,1.23824,517.796,418.171,0.314301,0.38918,45.21483257,2.529711721,8.788113116,14.89938718,26,8.333333333,0.176470588,2.518823529,25.28396135
GaFFIVE_2_Co,10.23922,0.642763,1944.28,3024.88,1.08889,0.6999,49.35469622,2.761331767,9.592751504,16.26357295,13.5,8.333333333,0.176470588,2.518823529,90.28457605
GaFFIVE_2_Co_i,3.70286,1.2712,55.3305,43.5262,0.267133,0.33958,49.35469622,2.761331767,9.592751504,16.26357295,26,8.333333333,0.176470588,2.518823529,20.07009298
GaFFIVE_2_Cu,10.38723,0.634019,1932.29,3047.69,1.10842,0.70276,48.96794348,2.739693449,9.517580889,16.13612852,13.5,8.333333333,0.176470588,2.556078431,90.51766249
GaFFIVE_2_Cu_i,3.79201,1.24492,101.763,81.7427,0.282258,0.35139,48.96794348,2.739693449,9.517580889,16.13612852,26,8.333333333,0.176470588,2.556078431,20.4141309
GaFFIVE_2_Fe,10.72495,0.61336,1905,3105.85,1.14484,0.7022,49.61702509,2.77600873,9.643738661,16.3500167,13.5,8.333333333,0.176470588,2.518823529,93.62711922
GaFFIVE_2_Fe_i,3.95659,1.20925,364.883,301.743,0.296613,0.35868,49.61702509,2.77600873,9.643738661,16.3500167,26,8.333333333,0.176470588,2.518823529,21.26278357
GaFFIVE_2_Ni,10.5252,0.634978,1903.2,2997.27,1.09982,0.69836,49.37498501,2.762466899,9.596694906,16.2702586,13.5,8.333333333,0.176470588,2.518823529,90.03114699
GaFFIVE_2_Ni_i,3.87224,1.24549,135.207,108.558,0.279497,0.34811,49.37498501,2.762466899,9.596694906,16.2702586,26,8.333333333,0.176470588,2.518823529,20.01900196
GaFFIVE_2_Zn,10.63095,0.626348,1910.19,3049.73,1.12204,0.70279,48.81586011,2.73118458,9.488021432,16.08601335,13.5,8.333333333,0.176470588,2.551176471,91.59961324
GaFFIVE_2_Zn_i,3.92994,1.22984,166.338,135.251,0.291248,0.35819,48.81586011,2.73118458,9.488021432,16.08601335,26,8.333333333,0.176470588,2.551176471,20.74540842
GaFFIVE_3_Cd,4.00324,1.55659,742.808,477.202,0.248402,0.38666,21.9728655,1.844030341,12.81216914,21.72178101,3,25,0.333333333,2.594814815,22.38441457
GaFFIVE_4_Cd_i,6.85471,1.01565,718.79,707.715,0.444494,0.45145,51.8207619,3.261718092,7.554048497,12.80715119,67,6.25,0.134328358,2.484477612,46.01225513
